source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped
2wikimultihopqa,qwen3:14b,comparison,16000,end,medium,unknown,direct,exact_match,1.0,0.8,0.8,5,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,16000,end,medium,unknown,retrieve_then_read,exact_match,1.0,0.8,1.0,5,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,16000,middle,low,unknown,direct,exact_match,0.5,0.75,0.625,8,True,,0.5,0.5
2wikimultihopqa,qwen3:14b,comparison,16000,middle,low,unknown,retrieve_then_read,exact_match,0.5,0.75,0.5,8,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,end,low,unknown,direct,exact_match,0.3333333333333333,0.75,0.5,12,True,,0.4,0.4
2wikimultihopqa,qwen3:14b,comparison,4000,end,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.75,0.5,12,True,,0.4,0.4
2wikimultihopqa,qwen3:14b,multi_hop,8000,end,low,unknown,direct,exact_match,0.047619047619047616,0.3333333333333333,0.3333333333333333,21,True,,1.0,1.0
2wikimultihopqa,qwen3:14b,multi_hop,8000,end,low,unknown,retrieve_then_read,exact_match,0.047619047619047616,0.3333333333333333,0.19047619047619047,21,True,,0.5,0.5
2wikimultihopqa,qwen3:14b,multi_hop,16000,scattered,low,unknown,direct,exact_match,0.05263157894736842,0.47368421052631576,0.05263157894736842,19,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,multi_hop,16000,scattered,low,unknown,retrieve_then_read,exact_match,0.05263157894736842,0.47368421052631576,0.0,19,True,,-0.125,0.0
2wikimultihopqa,qwen3:14b,comparison,16000,end,low,unknown,direct,exact_match,0.46153846153846156,0.8461538461538461,0.6923076923076923,13,True,,0.6,0.6
2wikimultihopqa,qwen3:14b,comparison,16000,end,low,unknown,retrieve_then_read,exact_match,0.46153846153846156,0.8461538461538461,0.46153846153846156,13,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,scattered,low,unknown,direct,exact_match,0.6666666666666666,0.8333333333333334,0.5,6,True,,-0.9999999999999993,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,scattered,low,unknown,retrieve_then_read,exact_match,0.6666666666666666,0.8333333333333334,0.3333333333333333,6,True,,-1.9999999999999991,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,end,medium,unknown,direct,exact_match,0.5,0.75,1.0,8,True,,2.0,1.0
2wikimultihopqa,qwen3:14b,comparison,4000,end,medium,unknown,retrieve_then_read,exact_match,0.5,0.75,0.875,8,True,,1.5,1.0
2wikimultihopqa,qwen3:14b,multi_hop,8000,scattered,low,unknown,direct,exact_match,0.05,0.4,0.1,20,True,,0.14285714285714285,0.14285714285714285
2wikimultihopqa,qwen3:14b,multi_hop,8000,scattered,low,unknown,retrieve_then_read,exact_match,0.05,0.4,0.1,20,True,,0.14285714285714285,0.14285714285714285
2wikimultihopqa,qwen3:14b,multi_hop,16000,front,low,unknown,direct,exact_match,0.0,0.6296296296296297,0.4074074074074074,27,True,,0.6470588235294117,0.6470588235294117
2wikimultihopqa,qwen3:14b,multi_hop,16000,front,low,unknown,retrieve_then_read,exact_match,0.0,0.6296296296296297,0.14814814814814814,27,True,,0.2352941176470588,0.2352941176470588
2wikimultihopqa,qwen3:14b,comparison,4000,middle,medium,unknown,direct,exact_match,0.3333333333333333,0.7777777777777778,0.4444444444444444,9,True,,0.24999999999999997,0.24999999999999997
2wikimultihopqa,qwen3:14b,comparison,4000,middle,medium,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.7777777777777778,0.4444444444444444,9,True,,0.24999999999999997,0.24999999999999997
2wikimultihopqa,qwen3:14b,comparison,8000,end,low,unknown,direct,exact_match,0.5,0.875,0.625,8,True,,0.3333333333333333,0.3333333333333333
2wikimultihopqa,qwen3:14b,comparison,8000,end,low,unknown,retrieve_then_read,exact_match,0.5,0.875,0.5,8,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,scattered,medium,unknown,direct,exact_match,0.5833333333333334,0.8333333333333334,0.5833333333333334,12,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,scattered,medium,unknown,retrieve_then_read,exact_match,0.5833333333333334,0.8333333333333334,0.75,12,True,,0.6666666666666665,0.6666666666666665
2wikimultihopqa,qwen3:14b,comparison,4000,front,low,unknown,direct,exact_match,0.5555555555555556,0.8888888888888888,0.3333333333333333,9,True,,-0.666666666666667,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,front,low,unknown,retrieve_then_read,exact_match,0.5555555555555556,0.8888888888888888,0.4444444444444444,9,True,,-0.33333333333333354,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,scattered,high,unknown,direct,exact_match,0.0,0.0,0.0,1,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,4000,scattered,high,unknown,retrieve_then_read,exact_match,0.0,0.0,0.0,1,False,oracle_not_above_no_evidence,,
2wikimultihopqa,qwen3:14b,comparison,4000,middle,low,unknown,direct,exact_match,0.875,1.0,0.875,8,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,4000,middle,low,unknown,retrieve_then_read,exact_match,0.875,1.0,0.875,8,True,,0.0,0.0
2wikimultihopqa,qwen3:14b,comparison,8000,middle,medium,unknown,direct,exact_match,0.4444444444444444,0.6666666666666666,0.5555555555555556,9,True,,0.5000000000000002,0.5000000000000002
2wikimultihopqa,qwen3:14b,comparison,8000,middle,medium,unknown,retrieve_then_read,exact_match,0.4444444444444444,0.6666666666666666,0.5555555555555556,9,True,,0.5000000000000002,0.5000000000000002
2wikimultihopqa,qwen3:14b,comparison,16000,scattered,low,unknown,direct,exact_match,0.625,1.0,1.0,8,True,,1.0,1.0
2wikimultihopqa,qwen3:14b,comparison,16000,scattered,low,unknown,retrieve_then_read,exact_match,0.625,1.0,0.875,8,True,,0.6666666666666666,0.6666666666666666
2wikimultihopqa,qwen3:14b,comparison,8000,front,medium,unknown,direct,exact_match,0.4444444444444444,1.0,0.6666666666666666,9,True,,0.39999999999999997,0.39999999999999997
2wikimultihopqa,qwen3:14b,comparison,8000,front,medium,unknown,retrieve_then_read,exact_match,0.4444444444444444,1.0,0.8888888888888888,9,True,,0.7999999999999999,0.7999999999999999
