source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,end,low,unknown,22,0.36363636363636365,0.49393939393939396,0.36363636363636365,0.5212121212121212,0.36363636363636365,0.49393939393939396,0.7272727272727273,0.38636363636363635,0.5,0.7272727272727273
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,front,low,unknown,22,0.36363636363636365,0.546969696969697,0.36363636363636365,0.546969696969697,0.36363636363636365,0.546969696969697,0.75,0.45454545454545453,0.553030303030303,0.7727272727272727
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,middle,low,unknown,24,0.375,0.49047619047619045,0.375,0.4889880952380952,0.375,0.49047619047619045,0.9166666666666666,0.6041666666666666,0.7083333333333333,0.9583333333333334
2wikimultihopqa,qwen3:14b,direct,multi_hop,4000,scattered,low,unknown,23,0.4782608695652174,0.5634920634920635,0.4782608695652174,0.5681159420289855,0.4782608695652174,0.5634920634920635,0.8695652173913043,0.4782608695652174,0.608695652173913,0.9130434782608695
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,end,low,unknown,21,0.3333333333333333,0.5219198790627362,0.3333333333333333,0.5198034769463341,0.3333333333333333,0.5219198790627362,0.8571428571428571,0.47619047619047616,0.6031746031746031,0.9047619047619048
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,front,low,unknown,23,0.21739130434782608,0.32270531400966185,0.21739130434782608,0.3183574879227053,0.21739130434782608,0.32270531400966185,0.7608695652173914,0.5,0.5869565217391304,0.782608695652174
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,middle,low,unknown,27,0.3333333333333333,0.5137566137566137,0.3333333333333333,0.5160012826679493,0.3333333333333333,0.5137566137566137,0.7777777777777778,0.5370370370370371,0.6172839506172839,0.7777777777777778
2wikimultihopqa,qwen3:14b,direct,multi_hop,8000,scattered,low,unknown,20,0.1,0.3412770562770563,0.15,0.3661904761904762,0.1,0.3412770562770563,0.875,0.525,0.6416666666666666,0.9
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,end,low,unknown,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,end,medium,unknown,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,front,low,unknown,6,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,front,medium,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,middle,low,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,middle,medium,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,scattered,low,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,16000,scattered,medium,unknown,14,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,end,low,unknown,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,end,medium,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,front,low,unknown,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,front,medium,unknown,11,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,middle,low,unknown,8,0.875,0.875,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,middle,medium,unknown,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,scattered,high,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,scattered,low,unknown,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,4000,scattered,medium,unknown,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,end,low,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,end,medium,unknown,12,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.3611111111111111,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,front,low,unknown,10,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,front,medium,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,middle,low,unknown,6,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,middle,medium,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,scattered,low,unknown,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,comparison,8000,scattered,medium,unknown,13,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,16000,end,low,unknown,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,16000,front,low,unknown,27,0.0,0.06049382716049383,0.0,0.06049382716049383,0.0,0.06049382716049383,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,16000,middle,low,unknown,26,0.11538461538461539,0.1600804424333836,0.11538461538461539,0.1581196581196581,0.11538461538461539,0.1600804424333836,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,16000,scattered,low,unknown,19,0.05263157894736842,0.1194331983805668,0.05263157894736842,0.11417004048582996,0.05263157894736842,0.1194331983805668,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,4000,end,low,unknown,22,0.0,0.059307359307359316,0.0,0.06591892955529319,0.0,0.059307359307359316,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,4000,front,low,unknown,22,0.0,0.07359307359307359,0.0,0.07359307359307359,0.0,0.07359307359307359,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,4000,middle,low,unknown,24,0.041666666666666664,0.09027777777777778,0.041666666666666664,0.09027777777777778,0.041666666666666664,0.09027777777777778,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,4000,scattered,low,unknown,23,0.0,0.06739130434782609,0.0,0.07860593512767426,0.0,0.06739130434782609,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,8000,end,low,unknown,21,0.047619047619047616,0.11243386243386243,0.047619047619047616,0.11243386243386243,0.047619047619047616,0.11243386243386243,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,8000,front,low,unknown,23,0.043478260869565216,0.06884057971014493,0.043478260869565216,0.06884057971014493,0.043478260869565216,0.06884057971014493,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,8000,middle,low,unknown,27,0.037037037037037035,0.11181657848324515,0.037037037037037035,0.11720378387045054,0.037037037037037035,0.11181657848324515,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,no_evidence,multi_hop,8000,scattered,low,unknown,20,0.05,0.17238095238095238,0.1,0.2010989010989011,0.05,0.17238095238095238,0.0,0.0,0.0,0.0
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,end,low,unknown,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.7307692307692307,0.8205128205128205,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,end,medium,unknown,5,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.7,0.819047619047619,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,16000,front,low,unknown,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.7777777777777778,1.0
