Model,Dataset,Condition,Metric,Mean,CI95_Low,CI95_High,N,Parse_Errors
Qwen3-14B,Controlled-safe16K,oracle,exact_match_relaxed,0.99,0.97,1.0,100,0
Qwen3-14B,Controlled-safe16K,oracle,evidence_f1,1.0,1.0,1.0,100,0
Qwen3-14B,HotpotQA-ONCU-100,no_evidence,answer_f1_relaxed,0.288547619047619,0.20935714285714288,0.3696958333333332,100,0
Qwen3-14B,HotpotQA-ONCU-100,no_evidence,answer_f1_strict,0.28904761904761905,0.2097130952380952,0.36990714285714277,100,0
Qwen3-14B,HotpotQA-ONCU-100,no_evidence,exact_match_relaxed,0.2,0.12,0.28,100,0
Qwen3-14B,HotpotQA-ONCU-100,no_evidence,evidence_f1,0.0,0.0,0.0,100,0
Qwen3-14B,HotpotQA-ONCU-100,direct,answer_f1_relaxed,0.6265006105006105,0.5433236263736264,0.7143534188034187,100,0
Qwen3-14B,HotpotQA-ONCU-100,direct,answer_f1_strict,0.6573577533577533,0.5765603479853479,0.742683547008547,100,0
Qwen3-14B,HotpotQA-ONCU-100,direct,exact_match_relaxed,0.49,0.39,0.59,100,0
Qwen3-14B,HotpotQA-ONCU-100,direct,evidence_f1,0.6756428571428573,0.6183863095238096,0.7296494047619049,100,0
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,answer_f1_relaxed,0.5313910533910533,0.44117027417027416,0.6223006493506492,100,0
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,answer_f1_strict,0.5422857142857143,0.45360595238095236,0.6297142857142857,100,0
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,exact_match_relaxed,0.41,0.31,0.51,100,0
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,evidence_f1,0.4524047619047619,0.384,0.5181446428571428,100,0
Qwen3-14B,HotpotQA-ONCU-100,oracle,answer_f1_relaxed,0.7517893217893219,0.6726832251082252,0.8283050865800866,100,1
Qwen3-14B,HotpotQA-ONCU-100,oracle,answer_f1_strict,0.7824559884559885,0.7101329365079365,0.8499031024531025,100,1
Qwen3-14B,HotpotQA-ONCU-100,oracle,exact_match_relaxed,0.64,0.54,0.73,100,1
Qwen3-14B,HotpotQA-ONCU-100,oracle,evidence_f1,0.8345,0.792114880952381,0.8728136904761905,100,1
