long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
retrieve_then_read,answer_f1,133,0.970718462823726,0.9885756056808688,0.0060150375939849,0.92406015037594,0.9095238095238096,0.970718462823726,0.9885756056808688
direct,answer_f1,133,0.499749373433584,0.5072681704260652,0.0060150375939849,0.92406015037594,0.4669172932330827,0.499749373433584,0.5072681704260652
retrieve_then_read,answer_f1_relaxed,133,0.9943609022556392,0.9943609022556392,0.0075187969924812,1.0,0.9943609022556392,0.9943609022556392,0.9943609022556392
direct,answer_f1_relaxed,133,0.5350877192982456,0.5350877192982456,0.0075187969924812,1.0,0.5350877192982456,0.5350877192982456,0.5350877192982456
retrieve_then_read,answer_f1_strict,133,0.970718462823726,0.9885756056808688,0.0060150375939849,0.92406015037594,0.9095238095238096,0.970718462823726,0.9885756056808688
direct,answer_f1_strict,133,0.499749373433584,0.5072681704260652,0.0060150375939849,0.92406015037594,0.4669172932330827,0.499749373433584,0.5072681704260652
retrieve_then_read,exact_match,83,0.7991967871485943,0.7991967871485943,0.0,0.993975903614458,0.7991967871485943,0.7991967871485943,0.7991967871485943
direct,exact_match,83,0.4718875502008032,0.4718875502008032,0.0,0.993975903614458,0.4718875502008032,0.4718875502008032,0.4718875502008032
retrieve_then_read,exact_match_relaxed,133,0.9924812030075189,0.9924812030075189,0.0,1.0,0.9924812030075189,0.9924812030075189,0.9924812030075189
direct,exact_match_relaxed,133,0.5037593984962406,0.5037593984962406,0.0,1.0,0.5037593984962406,0.5037593984962406,0.5037593984962406
retrieve_then_read,exact_match_strict,83,0.7991967871485943,0.7991967871485943,0.0,0.993975903614458,0.7991967871485943,0.7991967871485943,0.7991967871485943
direct,exact_match_strict,83,0.4718875502008032,0.4718875502008032,0.0,0.993975903614458,0.4718875502008032,0.4718875502008032,0.4718875502008032
