Model,Dataset,Condition,Metric,Mean,CI95_Low,CI95_High,N,Parse_Errors
Qwen3-14B,Controlled-safe16K-200,oracle,answer_f1_strict,0.9180000000000001,0.9009999999999999,0.9330000000000002,200,0
Qwen3-14B,Controlled-safe16K-200,oracle,exact_match_relaxed,0.995,0.985,1.0,200,0
Qwen3-14B,Controlled-safe16K-200,oracle,evidence_f1,1.0,1.0,1.0,200,0
Qwen3-14B,HotpotQA-ONCU-200,no_evidence,answer_f1_relaxed,0.3014791401409048,0.24607705786860198,0.3576917043332485,200,0
Qwen3-14B,HotpotQA-ONCU-200,no_evidence,answer_f1_strict,0.29848917748917747,0.2426766504329004,0.3551363095238094,200,0
Qwen3-14B,HotpotQA-ONCU-200,no_evidence,exact_match_relaxed,0.205,0.15,0.26,200,0
Qwen3-14B,HotpotQA-ONCU-200,no_evidence,evidence_f1,0.0,0.0,0.0,200,0
Qwen3-14B,HotpotQA-ONCU-200,direct,answer_f1_relaxed,0.6888260628260627,0.6334034812409812,0.7451283986846488,200,0
Qwen3-14B,HotpotQA-ONCU-200,direct,answer_f1_strict,0.7020723998223997,0.6482572934010434,0.7581065705128205,200,0
Qwen3-14B,HotpotQA-ONCU-200,direct,exact_match_relaxed,0.535,0.47,0.605,200,0
Qwen3-14B,HotpotQA-ONCU-200,direct,evidence_f1,0.680107142857143,0.6419869047619048,0.7171494047619047,200,0
Qwen3-14B,HotpotQA-ONCU-200,retrieve_then_read,answer_f1_relaxed,0.5580530303030302,0.4978250721500721,0.6198824494949495,200,0
Qwen3-14B,HotpotQA-ONCU-200,retrieve_then_read,answer_f1_strict,0.5622305194805195,0.5016624188311688,0.6248119047619046,200,0
Qwen3-14B,HotpotQA-ONCU-200,retrieve_then_read,exact_match_relaxed,0.425,0.355,0.495,200,0
Qwen3-14B,HotpotQA-ONCU-200,retrieve_then_read,evidence_f1,0.4694047619047619,0.42469940476190476,0.514585119047619,200,0
Qwen3-14B,HotpotQA-ONCU-200,oracle,answer_f1_relaxed,0.7953986291486292,0.7461833784271285,0.8416431277056278,200,1
Qwen3-14B,HotpotQA-ONCU-200,oracle,answer_f1_strict,0.80944227994228,0.7612423069985569,0.8541035624098124,200,1
Qwen3-14B,HotpotQA-ONCU-200,oracle,exact_match_relaxed,0.66,0.595,0.725,200,1
Qwen3-14B,HotpotQA-ONCU-200,oracle,evidence_f1,0.8266071428571428,0.7995934523809524,0.8527285714285714,200,1
Gemma3-12B,Controlled-safe16K-200,no_evidence,answer_f1_relaxed,0.0,0.0,0.0,200,0
Gemma3-12B,Controlled-safe16K-200,no_evidence,answer_f1_strict,0.0,0.0,0.0,200,0
Gemma3-12B,Controlled-safe16K-200,no_evidence,exact_match_relaxed,0.0,0.0,0.0,200,0
Gemma3-12B,Controlled-safe16K-200,no_evidence,evidence_f1,0.0,0.0,0.0,200,0
Gemma3-12B,Controlled-safe16K-200,direct,answer_f1_relaxed,0.5139583333333334,0.4520729166666666,0.5768802083333333,200,6
Gemma3-12B,Controlled-safe16K-200,direct,answer_f1_strict,0.3281111111111111,0.2746111111111111,0.3802291666666665,200,6
Gemma3-12B,Controlled-safe16K-200,direct,exact_match_relaxed,0.415,0.345,0.485,200,6
Gemma3-12B,Controlled-safe16K-200,direct,evidence_f1,0.6733333333333335,0.63,0.715,200,6
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,answer_f1_relaxed,0.845,0.7975,0.89,200,0
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,answer_f1_strict,0.6206666666666666,0.56,0.6793333333333333,200,0
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,exact_match_relaxed,0.815,0.76,0.865,200,0
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,evidence_f1,0.7933333333333333,0.7541666666666665,0.83,200,0
Gemma3-12B,Controlled-safe16K-200,oracle,answer_f1_relaxed,0.99,0.975,1.0,200,0
Gemma3-12B,Controlled-safe16K-200,oracle,answer_f1_strict,0.72,0.66,0.775,200,0
Gemma3-12B,Controlled-safe16K-200,oracle,exact_match_relaxed,0.99,0.975,1.0,200,0
Gemma3-12B,Controlled-safe16K-200,oracle,evidence_f1,0.9133333333333333,0.8933333333333333,0.9333333333333331,200,0
Gemma3-12B,HotpotQA-ONCU-200,no_evidence,answer_f1_relaxed,0.29093650793650794,0.23650218253968255,0.3483651785714286,200,0
Gemma3-12B,HotpotQA-ONCU-200,no_evidence,answer_f1_strict,0.2909126984126984,0.23543015873015877,0.34816706349206344,200,0
Gemma3-12B,HotpotQA-ONCU-200,no_evidence,exact_match_relaxed,0.195,0.14,0.25,200,0
Gemma3-12B,HotpotQA-ONCU-200,no_evidence,evidence_f1,0.0,0.0,0.0,200,0
Gemma3-12B,HotpotQA-ONCU-200,direct,answer_f1_relaxed,0.6684289044289045,0.6099316634754134,0.7279650058275058,200,0
Gemma3-12B,HotpotQA-ONCU-200,direct,answer_f1_strict,0.6817765863169089,0.6237335381464414,0.7397279921915002,200,0
Gemma3-12B,HotpotQA-ONCU-200,direct,exact_match_relaxed,0.545,0.48,0.615,200,0
Gemma3-12B,HotpotQA-ONCU-200,direct,evidence_f1,0.5756785714285715,0.5409508928571428,0.6099547619047619,200,0
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,answer_f1_relaxed,0.5610729548229548,0.49656620879120883,0.6252289453601954,200,0
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,answer_f1_strict,0.5646875901875902,0.5001900432900432,0.6282496933621934,200,0
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,exact_match_relaxed,0.44,0.37,0.51,200,0
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,evidence_f1,0.4061190476190476,0.3626190476190476,0.4494535714285714,200,0
Gemma3-12B,HotpotQA-ONCU-200,oracle,answer_f1_relaxed,0.7909013764013764,0.7410699314574314,0.8382354076479076,200,0
Gemma3-12B,HotpotQA-ONCU-200,oracle,answer_f1_strict,0.810738677988678,0.7625321324508825,0.8566770437895439,200,0
Gemma3-12B,HotpotQA-ONCU-200,oracle,exact_match_relaxed,0.66,0.595,0.72,200,0
Gemma3-12B,HotpotQA-ONCU-200,oracle,evidence_f1,0.7529523809523809,0.7251306547619047,0.7804880952380953,200,0
