model_name,context_length,evidence_position,position_fraction,long_method,score_field,score_no_evidence,score_oracle,score_long,n,oncu_valid,oncu_invalid_reason,oncu_raw,oncu_clipped
gemma3:12b,32000,pos_09,0.95,direct,answer_f1_relaxed,0.0,1.0,0.75,80,True,,0.75,0.75
gemma3:12b,32000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.85625,80,True,,0.85625,0.85625
gemma3:12b,4000,pos_00,0.05,direct,answer_f1_relaxed,0.0,1.0,0.825,80,True,,0.825,0.825
gemma3:12b,4000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.80625,80,True,,0.80625,0.80625
gemma3:12b,4000,pos_01,0.15,direct,answer_f1_relaxed,0.0,0.975,0.8,80,True,,0.8205128205128206,0.8205128205128206
gemma3:12b,4000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,0.975,0.9,80,True,,0.9230769230769231,0.9230769230769231
gemma3:12b,4000,pos_02,0.25,direct,answer_f1_relaxed,0.0,0.9875,0.76875,80,True,,0.7784810126582279,0.7784810126582279
gemma3:12b,4000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.0,0.9875,0.81875,80,True,,0.8291139240506329,0.8291139240506329
gemma3:12b,4000,pos_03,0.35,direct,answer_f1_relaxed,0.0,0.975,0.7625,80,True,,0.782051282051282,0.782051282051282
gemma3:12b,4000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,0.975,0.7875,80,True,,0.8076923076923077,0.8076923076923077
gemma3:12b,4000,pos_04,0.45,direct,answer_f1_relaxed,0.0,0.975,0.775,80,True,,0.7948717948717949,0.7948717948717949
gemma3:12b,4000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,0.975,0.84375,80,True,,0.8653846153846154,0.8653846153846154
gemma3:12b,4000,pos_05,0.55,direct,answer_f1_relaxed,0.0,0.975,0.74375,80,True,,0.7628205128205129,0.7628205128205129
gemma3:12b,4000,pos_05,0.55,retrieve_then_read,answer_f1_relaxed,0.0,0.975,0.9,80,True,,0.9230769230769231,0.9230769230769231
gemma3:12b,4000,pos_06,0.65,direct,answer_f1_relaxed,0.0,1.0,0.8,80,True,,0.8,0.8
gemma3:12b,4000,pos_06,0.65,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.8625,80,True,,0.8625,0.8625
gemma3:12b,4000,pos_07,0.75,direct,answer_f1_relaxed,0.0,1.0,0.7875,80,True,,0.7875,0.7875
gemma3:12b,4000,pos_07,0.75,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.8125,80,True,,0.8125,0.8125
gemma3:12b,4000,pos_08,0.85,direct,answer_f1_relaxed,0.0,1.0,0.775,80,True,,0.775,0.775
gemma3:12b,4000,pos_08,0.85,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.76875,80,True,,0.76875,0.76875
gemma3:12b,4000,pos_09,0.95,direct,answer_f1_relaxed,0.0,1.0,0.7875,80,True,,0.7875,0.7875
gemma3:12b,4000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.86875,80,True,,0.86875,0.86875
gemma3:12b,8000,pos_00,0.05,direct,answer_f1_relaxed,0.0,1.0,0.16041666666666665,80,True,,0.16041666666666665,0.16041666666666665
gemma3:12b,8000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,1.0,0.86875,80,True,,0.86875,0.86875
gemma3:12b,8000,pos_01,0.15,direct,answer_f1_relaxed,0.0,0.975,0.16009615384615383,80,True,,0.16420118343195264,0.16420118343195264
gemma3:12b,8000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,0.975,0.83125,80,True,,0.8525641025641026,0.8525641025641026
gemma3:12b,8000,pos_02,0.25,direct,answer_f1_relaxed,0.00625,1.0,0.55,80,True,,0.5471698113207548,0.5471698113207548
gemma3:12b,8000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.00625,1.0,0.85625,80,True,,0.8553459119496855,0.8553459119496855
