model_name,model_type,dependent_variable,term,coefficient,r_squared,n,note
gemma3:12b,ols_diagnostic,full_context_oncu_clipped,intercept,0.44952982769150956,0.7986448627814693,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
gemma3:12b,ols_diagnostic,full_context_oncu_clipped,log2_context_length_centered,-0.21390225225516146,0.7986448627814693,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
gemma3:12b,ols_diagnostic,full_context_oncu_clipped,position_fraction_centered,0.5119933695283875,0.7986448627814693,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
gemma3:12b,ols_diagnostic,full_context_oncu_clipped,distance_from_middle_centered,0.36511977026711223,0.7986448627814693,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen2.5:14b,ols_diagnostic,full_context_oncu_clipped,intercept,0.515219398872041,0.7855410707718352,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen2.5:14b,ols_diagnostic,full_context_oncu_clipped,log2_context_length_centered,-0.28058490468867403,0.7855410707718352,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen2.5:14b,ols_diagnostic,full_context_oncu_clipped,position_fraction_centered,0.7462007363872762,0.7855410707718352,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen2.5:14b,ols_diagnostic,full_context_oncu_clipped,distance_from_middle_centered,0.5955026809959996,0.7855410707718352,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen3:14b,ols_diagnostic,full_context_oncu_clipped,intercept,0.5119910175764477,0.7897193399381639,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen3:14b,ols_diagnostic,full_context_oncu_clipped,log2_context_length_centered,-0.2805674425471535,0.7897193399381639,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen3:14b,ols_diagnostic,full_context_oncu_clipped,position_fraction_centered,0.7607845852902774,0.7897193399381639,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
qwen3:14b,ols_diagnostic,full_context_oncu_clipped,distance_from_middle_centered,0.6148565041318871,0.7897193399381639,40,"OLS summary over aggregated length-position ONCU cells; use as diagnostic effect direction, not causal inference."
