long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
retrieve_then_read,answer_f1,100,0.7461666666666668,0.8003333333333333,0.0,0.947,0.7415,0.7461666666666668,0.8003333333333333
direct,answer_f1,100,0.4084722222222222,0.4184722222222222,0.0,0.947,0.3862222222222222,0.4084722222222222,0.4184722222222222
retrieve_then_read,answer_f1_relaxed,133,0.8421052631578947,0.8421052631578947,0.0,0.9962406015037594,0.8421052631578947,0.8421052631578947,0.8421052631578947
direct,answer_f1_relaxed,133,0.5147243107769424,0.5147243107769424,0.0,0.9962406015037594,0.5147243107769424,0.5147243107769424,0.5147243107769424
retrieve_then_read,answer_f1_strict,100,0.7461666666666668,0.8003333333333333,0.0,0.947,0.7415,0.7461666666666668,0.8003333333333333
direct,answer_f1_strict,100,0.4084722222222222,0.4184722222222222,0.0,0.947,0.3862222222222222,0.4084722222222222,0.4184722222222222
retrieve_then_read,exact_match,76,0.3388157894736842,0.3388157894736842,0.0,0.993421052631579,0.3388157894736842,0.3388157894736842,0.3388157894736842
direct,exact_match,76,0.0657894736842105,0.0657894736842105,0.0,0.993421052631579,0.0657894736842105,0.0657894736842105,0.0657894736842105
retrieve_then_read,exact_match_relaxed,133,0.8176691729323309,0.8176691729323309,0.0,0.9962406015037594,0.8176691729323309,0.8176691729323309,0.8176691729323309
direct,exact_match_relaxed,133,0.4135338345864661,0.4135338345864661,0.0,0.9962406015037594,0.4135338345864661,0.4135338345864661,0.4135338345864661
retrieve_then_read,exact_match_strict,76,0.3388157894736842,0.3388157894736842,0.0,0.993421052631579,0.3388157894736842,0.3388157894736842,0.3388157894736842
direct,exact_match_strict,76,0.0657894736842105,0.0657894736842105,0.0,0.993421052631579,0.0657894736842105,0.0657894736842105,0.0657894736842105
