Model,Dataset,Condition,Valid Groups,S_no,S_oracle,S_condition,ONCU_Relaxed_F1
Qwen2.5-14B,Controlled-safe16K,retrieve_then_read,82,0.0,0.8943089430894309,0.9878048780487804,0.9878048780487804
Qwen2.5-14B,Controlled-safe16K,direct,82,0.0,0.8943089430894309,0.5447154471544715,0.5853658536585366
Qwen2.5-14B,HotpotQA-ONCU-100,direct,25,0.1938285714285714,0.7865782661782661,0.7781973137973138,0.8977353383458647
Qwen2.5-14B,HotpotQA-ONCU-100,retrieve_then_read,25,0.1938285714285714,0.7865782661782661,0.5585079365079365,0.6033407047029339
Qwen3-14B,Controlled-safe16K,retrieve_then_read,81,0.0061728395061728,1.0,0.9876543209876544,0.9876543209876544
Qwen3-14B,Controlled-safe16K,direct,81,0.0061728395061728,1.0,0.5185185185185185,0.5185185185185185
Qwen3-14B,HotpotQA-ONCU-100,direct,25,0.2168412698412698,0.8109494949494949,0.6449719169719169,0.7327216702484582
Qwen3-14B,HotpotQA-ONCU-100,retrieve_then_read,25,0.2168412698412698,0.8109494949494949,0.5203559403559403,0.4917345850924202
