source,model_name,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,long_method,score_field,score_no_evidence,score_oracle,score_long,n,cue_valid,cue_invalid_reason,cue_raw,cue_clipped
hotpotqa,qwen3:14b,multi_hop,8000,scattered,medium,unknown,direct,exact_match,0.0,0.8,0.8,5,True,,1.0,1.0
hotpotqa,qwen3:14b,multi_hop,8000,scattered,medium,unknown,retrieve_then_read,exact_match,0.0,0.8,0.6,5,True,,0.7499999999999999,0.7499999999999999
hotpotqa,qwen3:14b,multi_hop,4000,middle,medium,unknown,direct,exact_match,0.25,0.5,0.25,4,True,,0.0,0.0
hotpotqa,qwen3:14b,multi_hop,4000,middle,medium,unknown,retrieve_then_read,exact_match,0.25,0.5,0.5,4,True,,1.0,1.0
hotpotqa,qwen3:14b,comparison,8000,end,low,unknown,direct,exact_match,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,8000,end,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,multi_hop,16000,scattered,low,unknown,direct,exact_match,0.3333333333333333,0.8333333333333334,0.8333333333333334,12,True,,1.0,1.0
hotpotqa,qwen3:14b,multi_hop,16000,scattered,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.8333333333333334,0.6666666666666666,12,True,,0.6666666666666666,0.6666666666666666
hotpotqa,qwen3:14b,multi_hop,4000,front,medium,unknown,direct,exact_match,0.0,0.8571428571428571,0.42857142857142855,7,True,,0.5,0.5
hotpotqa,qwen3:14b,multi_hop,4000,front,medium,unknown,retrieve_then_read,exact_match,0.0,0.8571428571428571,0.42857142857142855,7,True,,0.5,0.5
hotpotqa,qwen3:14b,multi_hop,16000,end,low,unknown,direct,exact_match,0.3333333333333333,0.6666666666666666,0.6666666666666666,9,True,,1.0,1.0
hotpotqa,qwen3:14b,multi_hop,16000,end,low,unknown,retrieve_then_read,exact_match,0.3333333333333333,0.6666666666666666,0.4444444444444444,9,True,,0.3333333333333333,0.3333333333333333
hotpotqa,qwen3:14b,comparison,8000,scattered,medium,unknown,direct,exact_match,0.0,1.0,1.0,1,True,,1.0,1.0
hotpotqa,qwen3:14b,comparison,8000,scattered,medium,unknown,retrieve_then_read,exact_match,0.0,1.0,0.0,1,True,,0.0,0.0
hotpotqa,qwen3:14b,multi_hop,16000,front,medium,unknown,direct,exact_match,0.0,0.6,0.2,5,True,,0.33333333333333337,0.33333333333333337
hotpotqa,qwen3:14b,multi_hop,16000,front,medium,unknown,retrieve_then_read,exact_match,0.0,0.6,0.4,5,True,,0.6666666666666667,0.6666666666666667
hotpotqa,qwen3:14b,comparison,4000,middle,medium,unknown,direct,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,4000,middle,medium,unknown,retrieve_then_read,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,multi_hop,4000,end,medium,unknown,direct,exact_match,0.25,0.25,0.0,4,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,multi_hop,4000,end,medium,unknown,retrieve_then_read,exact_match,0.25,0.25,0.0,4,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,multi_hop,8000,scattered,low,unknown,direct,exact_match,0.1111111111111111,0.5555555555555556,0.3333333333333333,9,True,,0.49999999999999994,0.49999999999999994
hotpotqa,qwen3:14b,multi_hop,8000,scattered,low,unknown,retrieve_then_read,exact_match,0.1111111111111111,0.5555555555555556,0.3333333333333333,9,True,,0.49999999999999994,0.49999999999999994
hotpotqa,qwen3:14b,comparison,16000,front,low,unknown,direct,exact_match,0.0,0.0,0.0,2,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,16000,front,low,unknown,retrieve_then_read,exact_match,0.0,0.0,0.0,2,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,multi_hop,4000,middle,low,unknown,direct,exact_match,0.125,0.75,0.75,8,True,,1.0,1.0
hotpotqa,qwen3:14b,multi_hop,4000,middle,low,unknown,retrieve_then_read,exact_match,0.125,0.75,0.75,8,True,,1.0,1.0
hotpotqa,qwen3:14b,multi_hop,8000,middle,medium,unknown,direct,exact_match,0.2,0.6,0.4,5,True,,0.5000000000000001,0.5000000000000001
hotpotqa,qwen3:14b,multi_hop,8000,middle,medium,unknown,retrieve_then_read,exact_match,0.2,0.6,0.4,5,True,,0.5000000000000001,0.5000000000000001
hotpotqa,qwen3:14b,comparison,4000,scattered,low,unknown,direct,exact_match,0.5,0.0,0.0,2,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,4000,scattered,low,unknown,retrieve_then_read,exact_match,0.5,0.0,0.5,2,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,4000,end,medium,unknown,direct,exact_match,1.0,1.0,1.0,2,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,4000,end,medium,unknown,retrieve_then_read,exact_match,1.0,1.0,1.0,2,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,16000,middle,medium,unknown,direct,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,16000,middle,medium,unknown,retrieve_then_read,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,16000,scattered,medium,unknown,direct,exact_match,0.0,0.0,0.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,16000,scattered,medium,unknown,retrieve_then_read,exact_match,0.0,0.0,0.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,multi_hop,8000,end,medium,unknown,direct,exact_match,0.0,1.0,1.0,1,True,,1.0,1.0
hotpotqa,qwen3:14b,multi_hop,8000,end,medium,unknown,retrieve_then_read,exact_match,0.0,1.0,1.0,1,True,,1.0,1.0
hotpotqa,qwen3:14b,comparison,4000,end,low,unknown,direct,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,4000,end,low,unknown,retrieve_then_read,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,16000,middle,low,unknown,direct,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
hotpotqa,qwen3:14b,comparison,16000,middle,low,unknown,retrieve_then_read,exact_match,1.0,1.0,1.0,1,False,oracle_not_above_no_evidence,,
