Model,Dataset,Condition,Failure_Type,Count,Rate,Percent,N
Gemma3-12B,Controlled-safe16K-200,retrieve_then_read,evidence_selection_failure,14,0.07,7.0,200
Gemma3-12B,Controlled-safe16K-200,oracle,success,116,0.58,58.0,200
Gemma3-12B,Controlled-safe16K-200,oracle,answer_conversion_failure,84,0.42,42.0,200
Gemma3-12B,HotpotQA-ONCU-200,no_evidence,evidence_localization_failure,161,0.805,80.5,200
Gemma3-12B,HotpotQA-ONCU-200,no_evidence,success,39,0.195,19.5,200
Gemma3-12B,HotpotQA-ONCU-200,direct,success,112,0.56,56.0,200
Gemma3-12B,HotpotQA-ONCU-200,direct,evidence_integration_failure,63,0.315,31.5,200
Gemma3-12B,HotpotQA-ONCU-200,direct,evidence_selection_failure,17,0.085,8.5,200
Gemma3-12B,HotpotQA-ONCU-200,direct,answer_conversion_failure,7,0.035,3.5,200
Gemma3-12B,HotpotQA-ONCU-200,direct,evidence_localization_failure,1,0.005,0.5,200
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,success,89,0.445,44.5,200
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,evidence_integration_failure,52,0.26,26.0,200
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,evidence_localization_failure,52,0.26,26.0,200
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,evidence_selection_failure,5,0.025,2.5,200
Gemma3-12B,HotpotQA-ONCU-200,retrieve_then_read,answer_conversion_failure,2,0.01,1.0,200
Gemma3-12B,HotpotQA-ONCU-200,oracle,success,136,0.68,68.0,200
Gemma3-12B,HotpotQA-ONCU-200,oracle,evidence_integration_failure,43,0.215,21.5,200
Gemma3-12B,HotpotQA-ONCU-200,oracle,answer_conversion_failure,21,0.105,10.5,200
