long_method,score_field,valid_groups,cue_clipped_mean,cue_raw_mean,score_no_evidence_mean,score_oracle_mean,score_long_mean,oncu_clipped_mean,oncu_raw_mean
retrieve_then_read,answer_f1,82,0.9230352303523036,1.1337059620596206,0.0,0.8085365853658536,0.8402439024390245,0.9230352303523036,1.1337059620596206
direct,answer_f1,82,0.4132791327913279,0.4791327913279133,0.0,0.8085365853658536,0.3560975609756097,0.4132791327913279,0.4791327913279133
retrieve_then_read,answer_f1_relaxed,82,0.9878048780487804,1.146341463414634,0.0,0.8943089430894309,0.9878048780487804,0.9878048780487804,1.146341463414634
direct,answer_f1_relaxed,82,0.5853658536585366,0.6341463414634146,0.0,0.8943089430894309,0.5447154471544715,0.5853658536585366,0.6341463414634146
retrieve_then_read,answer_f1_strict,82,0.9230352303523036,1.1337059620596206,0.0,0.8085365853658536,0.8402439024390245,0.9230352303523036,1.1337059620596206
direct,answer_f1_strict,82,0.4132791327913279,0.4791327913279133,0.0,0.8085365853658536,0.3560975609756097,0.4132791327913279,0.4791327913279133
retrieve_then_read,exact_match,43,0.813953488372093,0.813953488372093,0.0,0.9883720930232558,0.813953488372093,0.813953488372093,0.813953488372093
direct,exact_match,43,0.3023255813953488,0.3023255813953488,0.0,0.9883720930232558,0.3023255813953488,0.3023255813953488,0.3023255813953488
retrieve_then_read,exact_match_relaxed,56,0.9821428571428572,0.9821428571428572,0.0,1.0,0.9821428571428572,0.9821428571428572,0.9821428571428572
direct,exact_match_relaxed,56,0.5357142857142857,0.5357142857142857,0.0,1.0,0.5357142857142857,0.5357142857142857,0.5357142857142857
retrieve_then_read,exact_match_strict,43,0.813953488372093,0.813953488372093,0.0,0.9883720930232558,0.813953488372093,0.813953488372093,0.813953488372093
direct,exact_match_strict,43,0.3023255813953488,0.3023255813953488,0.0,0.9883720930232558,0.3023255813953488,0.3023255813953488,0.3023255813953488
