source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,16000,end,low,unknown,24,0.5,0.6472222222222223,0.5,0.6441919191919192,0.5,0.6472222222222223,0.9583333333333334,0.5416666666666666,0.6805555555555556,0.9583333333333334
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,16000,front,low,unknown,27,0.5925925925925926,0.6808641975308642,0.5925925925925926,0.6860082304526749,0.5925925925925926,0.6808641975308642,0.9444444444444444,0.5185185185185185,0.6604938271604938,0.9629629629629629
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,16000,middle,low,unknown,26,0.38461538461538464,0.5816849816849817,0.38461538461538464,0.5816849816849817,0.38461538461538464,0.5816849816849817,0.9807692307692307,0.5769230769230769,0.7115384615384615,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,16000,scattered,low,unknown,19,0.42105263157894735,0.5672514619883041,0.42105263157894735,0.5584795321637427,0.42105263157894735,0.5672514619883041,0.9473684210526315,0.5526315789473685,0.6842105263157895,0.9473684210526315
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,4000,end,low,unknown,22,0.36363636363636365,0.5180440771349862,0.36363636363636365,0.546831955922865,0.36363636363636365,0.5180440771349862,0.9090909090909091,0.6136363636363636,0.7121212121212122,0.9090909090909091
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,4000,front,low,unknown,22,0.5454545454545454,0.7090909090909091,0.5909090909090909,0.7545454545454545,0.5454545454545454,0.7090909090909091,0.8560606060606061,0.6136363636363636,0.6924242424242424,0.9090909090909091
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,4000,middle,low,unknown,24,0.4583333333333333,0.6146825396825397,0.4583333333333333,0.6146825396825397,0.4583333333333333,0.6146825396825397,0.8958333333333334,0.625,0.7152777777777778,0.9166666666666666
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,4000,scattered,low,unknown,23,0.5217391304347826,0.6096618357487923,0.5217391304347826,0.6248447204968944,0.5217391304347826,0.6096618357487923,0.9782608695652174,0.6304347826086957,0.7463768115942029,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,8000,end,low,unknown,21,0.42857142857142855,0.5840891912320484,0.42857142857142855,0.5840891912320484,0.42857142857142855,0.5840891912320484,0.9761904761904762,0.6666666666666666,0.7698412698412698,1.0
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,8000,front,low,unknown,23,0.43478260869565216,0.514975845410628,0.43478260869565216,0.5214630779848171,0.43478260869565216,0.514975845410628,0.9130434782608695,0.5652173913043478,0.6811594202898551,0.9130434782608695
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,8000,middle,low,unknown,27,0.48148148148148145,0.618694885361552,0.48148148148148145,0.6209395542728876,0.48148148148148145,0.618694885361552,0.9074074074074074,0.6481481481481481,0.7345679012345678,0.9259259259259259
2wikimultihopqa,mistral-small3.1:24b,direct,multi_hop,8000,scattered,low,unknown,20,0.25,0.4796103896103896,0.25,0.4745238095238095,0.25,0.4796103896103896,0.85,0.475,0.6,0.85
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,end,low,unknown,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,end,medium,unknown,5,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,front,low,unknown,6,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,front,medium,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,middle,low,unknown,8,0.375,0.375,0.375,0.375,0.375,0.375,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,middle,medium,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,scattered,low,unknown,8,0.625,0.625,0.625,0.625,0.625,0.625,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,16000,scattered,medium,unknown,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,4000,end,low,unknown,12,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,4000,end,medium,unknown,8,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,4000,front,low,unknown,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,4000,front,medium,unknown,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0
2wikimultihopqa,mistral-small3.1:24b,no_evidence,comparison,4000,middle,low,unknown,8,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
