dataset_key,dataset,model_key,model,setting,answer_f1,evidence_f1,valid_groups,total_groups,oncu,parse_errors
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@64$\rightarrow$24,0.5236443500943501,0.5437047619047619,286,500,0.509533522033522,0
twowiki500,2Wiki-500,gemma3,Gemma3-12B,CE@64$\rightarrow$8,0.4874284770784771,0.4425523809523809,286,500,0.4789474414474414,0
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@128$\rightarrow$16,0.4469269619269619,0.4752380952380952,277,500,0.4408365255955901,0
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@128$\rightarrow$24,0.4571616383616383,0.4841714285714285,277,500,0.4719931382150814,1
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@32$\rightarrow$16,0.4457494727494727,0.4682380952380952,277,500,0.4345638973013012,1
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@32$\rightarrow$8,0.4237249306249306,0.4307047619047618,277,500,0.4037896644708762,1
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@64$\rightarrow$16,0.4465936285936286,0.4695047619047618,277,500,0.4462516880504638,3
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@64$\rightarrow$24,0.4374666444666444,0.4868380952380952,277,500,0.4554657426263139,2
twowiki500,2Wiki-500,llama31,Llama3.1-8B,CE@64$\rightarrow$8,0.4232138195138195,0.4422380952380952,277,500,0.4246079556862793,1
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@128$\rightarrow$16,0.5568555333555334,0.5591142857142857,303,500,0.5805490072816806,0
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@128$\rightarrow$24,0.5877634698634698,0.5951047619047619,303,500,0.6476923882864477,0
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@32$\rightarrow$16,0.5407986790986791,0.5518380952380952,303,500,0.5585468070616586,0
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@32$\rightarrow$8,0.5188262626262626,0.4851047619047618,303,500,0.5365996123421866,0
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@64$\rightarrow$16,0.5593698190698191,0.5599333333333333,303,500,0.5871496673476871,0
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@64$\rightarrow$24,0.58696549006549,0.5915714285714285,303,500,0.6341610351511342,0
twowiki500,2Wiki-500,mistral,Mistral-Small3.1-24B,CE@64$\rightarrow$8,0.522959595959596,0.4953904761904761,303,500,0.5387448268636388,0
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@128$\rightarrow$16,0.4724665223665223,0.5011333333333333,329,500,0.5177449264683307,1
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@128$\rightarrow$24,0.4988025974025974,0.5211428571428571,329,500,0.5495028004754449,2
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@32$\rightarrow$16,0.4750809301809301,0.4876190476190476,329,500,0.5241693969657496,1
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@32$\rightarrow$8,0.4643138154243417,0.4486952380952381,329,500,0.4849954166063588,1
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@64$\rightarrow$16,0.4641236652236652,0.4891904761904762,329,500,0.5026949916007667,1
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@64$\rightarrow$24,0.496876023976024,0.5223047619047619,329,500,0.5561492037175928,2
twowiki500,2Wiki-500,qwen25,Qwen2.5-14B,CE@64$\rightarrow$8,0.4619884185989449,0.4520857142857142,329,500,0.491173348772133,1
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@128$\rightarrow$16,0.4826400932400932,0.5110571428571429,273,500,0.5151865418532086,0
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@128$\rightarrow$24,0.5066484515484515,0.5594285714285714,273,500,0.5666859683526351,0
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@32$\rightarrow$16,0.4807416805416805,0.5087904761904761,273,500,0.5142606159272826,0
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@32$\rightarrow$8,0.4556229215229215,0.465647619047619,273,500,0.4683444950111616,0
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@64$\rightarrow$16,0.4856400932400932,0.5085714285714286,273,500,0.5221665988332655,0
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@64$\rightarrow$24,0.5039436896436896,0.561847619047619,273,500,0.5593599610266277,1
twowiki500,2Wiki-500,qwen3,Qwen3-14B,CE@64$\rightarrow$8,0.4630229215229215,0.4708952380952381,273,500,0.475687152353819,0
